Time_Step,Most_Likely_State,Probability
1,"(12,4,W), (11,4,W)",0.026
2,"(1,3,W)",0.04
3,"(2,3,W), (4,3,E)",0.04
4,"(12,4,E)",0.052
5,"(5,3,E), (7,1,W)",0.046
6,"(13,4,E)",0.077
7,"(16,4,E)",0.108
8,"(9,4,W)",0.078
9,"(15,4,E)",0.138
10,"(16,4,E)",0.236
11,"(16,3,E)",0.141
12,"(16,3,N)",0.164
13,"(16,2,N)",0.296
14,"(16,2,N)",0.106
15,"(16,3,S)",0.128
16,"(16,2,N)",0.105
17,"(16,4,S)",0.102
18,"(15,2,W)",0.097
19,"(15,1,N)",0.089
20,"(16,3,N)",0.158
21,"(16,4,S)",0.163
22,"(16,4,S)",0.087
23,"(15,4,W)",0.098
24,"(16,2,N)",0.071
25,"(16,3,S)",0.13
26,"(16,4,S)",0.212
27,"(16,4,S)",0.185
28,"(15,4,W)",0.143
29,"(15,4,W)",0.146
30,"(14,3,W)",0.156
31,"(16,2,N)",0.066
32,"(14,4,W)",0.084
33,"(12,1,W)",0.083
34,"(13,1,E)",0.086
35,"(12,1,W)",0.149
36,"(13,1,E)",0.102
37,"(14,1,E)",0.128
38,"(14,1,E)",0.117
39,"(15,1,E)",0.253
40,"(15,2,E)",0.172
41,"(16,2,E)",0.23
42,"(16,2,E)",0.134
43,"(14,1,E)",0.096
44,"(14,1,E)",0.113
45,"(15,1,E)",0.205
46,"(15,1,E)",0.116
47,"(16,4,S)",0.132
48,"(14,1,W)",0.091
49,"(14,1,W)",0.076
50,"(13,1,W)",0.061
51,"(10,4,W)",0.061
52,"(12,4,W)",0.08
53,"(12,1,W)",0.113
54,"(12,4,W)",0.089
55,"(16,4,E)",0.16
56,"(16,3,E)",0.15
57,"(16,3,N)",0.145
58,"(16,2,N)",0.238
59,"(16,2,N)",0.08
60,"(15,4,W)",0.051
61,"(15,1,E)",0.091
62,"(15,1,E)",0.075
63,"(15,1,E)",0.069
64,"(13,1,W)",0.085
65,"(12,1,W)",0.177
66,"(13,1,W)",0.103
67,"(12,1,W)",0.126
68,"(12,1,W)",0.074
69,"(10,1,E)",0.148
70,"(12,1,W)",0.117
71,"(11,2,E)",0.09
72,"(9,4,W)",0.073
73,"(16,4,E)",0.132
74,"(16,3,E)",0.099
75,"(11,4,S)",0.104
76,"(16,3,N)",0.156
77,"(16,2,N)",0.238
78,"(15,2,N)",0.165
79,"(15,1,N)",0.294
80,"(15,1,N)",0.168
81,"(15,1,N)",0.119
82,"(14,1,W)",0.22
83,"(14,1,W)",0.234
84,"(14,1,W)",0.196
85,"(14,1,W), (13,1,W)",0.149
86,"(14,1,W)",0.091
87,"(14,1,W)",0.059
88,"(15,4,E)",0.078
89,"(14,4,E)",0.068
90,"(10,4,W)",0.121
91,"(15,4,E)",0.127
92,"(11,4,W)",0.124
93,"(10,4,W)",0.182
94,"(9,4,W)",0.288
95,"(10,4,W)",0.182
96,"(9,4,W)",0.157
97,"(10,4,W)",0.2
98,"(10,4,W)",0.192
99,"(11,4,W)",0.16
100,"(9,4,W)",0.283
